brand,en_name,kor_name,product_num,model,release,color,price,re_price,wish,review,link
Apple,Apple AirPods Max Silver (Korean Ver.),애플 에어팟 맥스 실버 (국내 정식 발매 제품),51930,MGYJ3KH/A,-,SILVER,"719,000원","610,000","1,569",42,https://kream.co.kr/products/51930
Nike,(GS) Nike Air Force 1 LE White,(GS) 나이키 에어포스 1 LE 화이트,31419,DH2920-111,21/03/16,WHITE/WHITE,"109,000원","117,000",1.4만,93,https://kream.co.kr/products/31419
New Balance,New Balance 992 Made in USA White Silver,뉴발란스 992 메이드 인 USA 화이트 실버,23831,M992NC,20/01/07,WHITE/SILVER,"259,000원","270,000","5,776",196,https://kream.co.kr/products/23831
Asics,Asics x I4P Gel-1130 Mink Glacier Grey,아식스 x I4P 젤 1130 밍크 글레이셔 그레이,52237,1201A664-021,22/02/24,MINK/GLACIER GREY,"129,000원","281,000","5,306",157,https://kream.co.kr/products/52237
Autry,Autry Medalist Low Leather Sneakers White,오트리 메달리스트 로우 레더 스니커즈 화이트,48207,AULM-LL15,-,WHITE/WHITE,"$186 (약 228,100원)","250,000","2,680",86,https://kream.co.kr/products/48207
New Balance,New Balance 2002R T2 Gray,뉴발란스 2002R T2 그레이,29249,ML2002R0,21/02/08,GRAY,"149,000원","120,000","6,404",127,https://kream.co.kr/products/29249
New Balance,New Balance 992 Made in USA Navy,뉴발란스 992 메이드 인 USA 네이비,26011,M992GG,20/07/11,NAVY/GREY,"259,000원","318,000","7,262",292,https://kream.co.kr/products/26011
Nike,(W) Nike Air Force 1 PLT.AF.ORM Fossil and White,(W) 나이키 에어포스 1 플랫폼 파슬 앤 화이트,57222,DJ9946-200,22/04/14,FOSSIL/SAIL/SUMMIT WHITE/BLACK,"139,000원","140,000",330,1,https://kream.co.kr/products/57222
Jordan,(W) Jordan 1 Mid SE Light Mulberry,(W) 조던 1 미드 SE 라이트 멀베리,49769,DC7267-500,22/01/20,LIGHT MULBERRY/BLACK,"159,000원","200,000",1.4만,206,https://kream.co.kr/products/49769
Jordan,(W) Jordan 1 Retro High OG Lucky Green,(W) 조던 1 레트로 하이 OG 럭키 그린,25833,DB4612-300,20/10/15,LUCKY GREEN/WHITE-SAIL-BLACK,"199,000원","318,000",1.8만,"1,239",https://kream.co.kr/products/25833
